gene bait_usage
C3orf20 1
WDR97 1
CMPK1 2
SLC35F1 2
DOCK9 3
C3orf62 2
KRT19 4
LANCL2 2
CDK5R1 7
PDGFB 2
THUMPD1 1
CAND2 1
USPL1 1
KDM4C 1
C16orf72 2
NWD1 1
RCAN2 1
RAC1 50
ALDH3B1 3
INHBA 1
MMP3 2
PRDX1 8
MYC 33
MYL6 2
SLC49A3 1
NUP43 2
SYF2 2
RGS3 4
VPS4A 3
NAT8L 2
AHDC1 2
DOK1 3
FAM161B 2
MILR1 1
FOXC2 4
ITM2A 4
ZNF311 2
SIGLEC11 1
LGALS1 3
XPO7 2
MAZ 4
UFSP1 1
LRRC8E 6
C1orf50 2
NDUFA6 2
MYCL 1
DUSP26 4
CHRNG 4
PRR30 1
SSTR5 2
LRRC61 2
MON1B 1
CIB4 1
CPSF2 1
FNBP4 1
RPF1 2
SCNN1D 3
APCDD1 2
SLC40A1 1
DTX3 2
SLC12A7 1
MFGE8 1
IARS2 2
MCAM 2
ARHGEF19 3
CPSF7 1
CEP89 2
PHF24 1
MUC15 2
NPHP3 4
SART3 4
CEP68 1
BAG5 6
OAT 1
COPB2 1
AK1 2
SCARF1 1
COPS5 19
GATAD2B 4
OAS2 1
CLHC1 1
MRPL32 1
WT1-AS 2
TAOK3 3
C19orf12 1
SMARCA4 16
FANCG 8
CIB3 2
CTSK 1
DNAI2 1
BMP7 5
TNMD 2
MAGEB3 1
CDK1 18
APOL2 3
CHAF1A 8
THOC5 4
STARD7 1
SEPTIN9 6
SOX8 1
ANKS1A 3
CUL5 9
RABL6 1
SMDT1 1
INTU 3
TLDC2 1
ICAM5 1
IRAK1BP1 2
ZCCHC10 4
FATE1 4
EIF4EBP1 9
CSPP1 4
FMC1 1
RDH11 3
SAR1B 1
METTL22 1
ND1 1
TM4SF5 1
KIF2A 3
HSPD1 9
CARD6 1
FBXL13 2
TYW5 1
KLHL15 4
CCR2 2
STX7 7
TIGD3 2
RBM24 2
TRIM73 1
VDAC2 1
TTC39B 2
POLI 7
TRIM63 3
MAOA 1
CTNNA2 2
TP53AIP1 1
DAXX 36
SIGLEC9 3
MED20 3
SMCO1 3
TTC9B 1
DAAM2 1
PSMC4 8
COMMD5 4
TMEM267 2
FHOD3 1
CCDC185 3
TNRC6C 8
GSTK1 6
PRDM5 3
CRELD1 1
PSME3 9
ATP5PF 1
S100A7L2 1
CPT1B 2
STARD4 1
FYCO1 5
CARM1 5
MIX23 1
TFRC 9
MPPED2 4
RALGAPA2 1
CIRBP 7
SH2D1B 6
SCGB1D2 1
CRTC2 6
ZNF432 1
WLS 2
TCERG1 2
ITGA9 1
DDHD2 1
MAPRE2 4
IWS1 1
ACTL8 2
RBFOX2 6
ADAM12 4
RAB10 5
TLE6 2
SLC5A11 3
RNH1 5
ARRDC1-AS1 1
FADS3 1
ATP10B 2
KIF16B 2
ZAR1 1
GTPBP1 1
ELP5 1
NCR3LG1 5
PFDN4 1
EIF3I 1
LATS2 4
PRDX3 4
MAIP1 2
ANAPC5 2
FTSJ3 2
SCIMP 2
SPPL2A 2
TGFA 4
CDH9 1
NOX1 2
ISLR 1
GIT2 2
ZNF248 1
BLVRA 4
ARMS2 2
FGF2 6
DNAJC22 1
ADARB1 2
ID2 6
MAPKAPK5 5
DNAAF10 3
SLC35A2 2
PLEKHG6 4
SNRPC 4
MTRR 1
LRRC26 1
SFT2D2 1
KRBOX5 1
CFAP206 3
RSRP1 4
RAC2 5
GRM5 1
ENTPD8 1
PPP6R1 3
PRG4 1
KCNS3 2
PCDH17 1
GALNT7 1
PIAS1 2
KRT6B 2
EPHA7 4
CCNQ 2
EXOSC4 6
PRR16 3
COQ10A 1
AGPAT3 3
CLPB 3
ASB16 2
EZH1 4
SNX12 3
DCLK2 4
FAU 1
AATK 5
DNAL4 3
SLC22A14 1
TAF1B 3
METTL21A 5
MAFB 3
CGGBP1 2
CSMD2 1
H2AC6 1
ZNF326 2
MRPL1 3
KIFC3 5
ZYG11B 1
USP1 3
NR2F1 1
GDE1 2
MPST 1
EMC1 1
NSD1 2
GUCY2D 2
FCGR2B 5
KCNIP2 3
UBE2Q2 2
ULBP3 1
DNASE1L2 2
MBD3L3 1
DHX32 2
ATP6V1A 1
APBA3 5
DLX4 3
ZC3H11A 2
S100A11 1
C3orf52 2
LHX3 2
DLGAP4 4
RIPK2 11
RDX 3
STX1A 3
ZNF334 2
NIF3L1 5
UQCRFS1 1
HOMER3 7
KCNJ2 4
IL1RL1 4
RBM34 2
XKRX 1
ENDOG 1
ABRAXAS1 4
VILL 2
FAM166B 1
PIGC 3
LRRC41 2
SLC16A5 1
DCP1B 4
PTPRJ 8
ANKRD18A 1
TPD52L2 3
MRPL58 1
PLXND1 3
ERBIN 4
SRRM1 5
ITIH1 1
TLR7 1
FGF13 2
SULT4A1 3
ZNF578 2
PEX10 1
HYPK 3
CCDC59 3
SNRNP25 2
EML3 1
PDHA1 1
PRDM6 1
HNRNPA2B1 4
KCNIP1 3
NUBP2 2
INSL6 1
MOSPD3 1
CPEB3 1
ECE1 2
CPLX4 1
KLHL4 1
CEP72 6
ADRA1A 4
SNTB2 3
DTX1 2
KNL1 3
HSD3B7 2
CFAP65 1
BATF2 3
RASD2 2
RRN3 2
DRAXIN 1
SHLD3 1
SLC35C1 1
HLA-B 7
FAM83H 2
PLA2G15 1
LMBRD1 2
ZNF44 1
TTLL9 1
ZNF343 1
CMTM5 4
NUDT13 1
TRAPPC2L 4
SEC22A 3
S100A1 8
TCP1 4
H3C13 5
EHD3 5
ELMO3 1
TP53INP2 1
L3HYPDH 1
TXNDC16 1
SEPTIN8 2
KLHL10 5
SCGN 2
PTGDS 3
FAM126B 4
SPANXA2 3
DEF8 2
B4GALT4 1
IFNA6 1
TFAP2A 9
GNG10 3
AQP3 1
ZBP1 2
TMEM114 1
GSDMA 1
MUC1 11
MCF2L2 2
PPARGC1B 1
BAIAP2 16
IGHG1 1
SNRPG 8
MAP3K2 5
TYRP1 1
EIF3E 9
CLK2 8
BARD1 9
KDR 25
KATNAL2 2
PPP1R21 2
RHNO1 4
NF1 5
CNP 2
LHX6 2
ZNF691 2
LDHB 5
LINGO2 1
SERINC3 1
SSUH2 1
TMPO 6
DDX23 2
ETNK1 2
CDC25A 9
ASIC1 3
MT2A 3
SLC6A2 1
FXN 4
LIN7C 2
TGM7 1
ERMAP 2
CIART 3
PLD3 1
ZFYVE26 3
REEP4 1
ZMYND19 4
CENPA 8
RAD51 23
NEU4 7
ZNF558 1
ARFGAP3 2
SDCCAG8 4
TEKT5 1
ARMCX1 2
GANAB 1
PCDH7 1
DEFB103B 1
EPM2A 3
FOXC1 4
MSL1 2
PARVA 6
DYNC1I1 6
PUM3 2
DNPEP 5
SNAI3 1
NDUFAF8 2
IARS1 3
PCOTH 1
GPATCH4 3
ZNF575 1
CCNYL1 2
APEH 3
M6PR 2
RIN2 2
PIWIL2 1
HSD17B13 1
FBLN7 1
TMEM258 1
ZFP64 3
GORASP2 9
THBS3 1
METTL8 1
HDLBP 2
MTA2 8
RILPL2 3
NT5C3A 4
TRNAU1AP 1
KEL 2
GFPT2 1
FLCN 4
LRIG2 2
CD63 5
FLT4 8
AGK 1
EVA1B 2
SOX1 1
MAP1LC3C 8
PTPRK 3
C18orf54 2
ZIC1 2
FAM8A1 3
CRYBB1 6
CFB 3
SMAD5 5
PSPH 2
MGST1 1
SP140 1
SNURF 7
SRSF10 2
SPDYC 1
GIGYF1 1
PMP22 3
SPINK9 1
TSC22D3 3
ZNF335 1
USP42 2
PLEKHS1 2
PIH1D1 5
HTR1B 4
IMPA1 4
MRPL38 3
PSMB9 6
ZC3H15 1
GATA3 10
KCNAB2 2
AARSD1 3
WDR74 1
ASB6 6
CLASP2 1
PGAM5 4
TEX13B 1
ZNF451 3
TMEM50A 1
ORC2 10
TMEM200A 1
GNAL 1
NUS1 3
NEK4 3
GABRG2 4
SYCE1 2
NOC2L 1
LIPC 1
ELOC 7
MRPL35 2
ASB8 2
COL11A2 1
GALNT2 3
TRPC3 3
NAA15 4
CEPT1 2
B3GNT7 1
PGLS 1
LTK 4
TLE4 2
METTL2A 1
HSH2D 2
IL36RN 3
MVK 5
FOXRED2 3
LTO1 1
RCSD1 1
MAP3K3 6
NUP58 7
SLC43A2 1
PLEKHG1 1
ITFG2 1
STN1 6
GPC1 4
GRM2 3
HLX 3
LINC00526 1
PDCL 3
ACVRL1 4
OR7A17 1
CREBL2 1
SLC30A3 3
NFATC3 3
GEMIN5 3
BIRC8 2
HTR3A 2
VNN2 1
TRIM10 3
CENPT 2
SBK3 1
CACNB3 3
GPR37L1 1
NUP62CL 4
EGFL8 1
ARPC2 1
NOXRED1 1
RBIS 1
MZT2A 1
SUV39H1 13
AGTR1 6
CDC20B 3
GPHB5 2
POMZP3 1
KIZ 4
PDGFD 1
MAF1 1
TLR2 9
UBB 12
CRABP2 2
CD47 5
CCL4L1 3
NEFM 3
TBC1D22A 2
LRRC51 1
APOL6 2
SMARCA1 2
FHIP1B 2
TRIML2 2
CASTOR1 3
TMEM237 5
ANXA11 4
CSPG5 1
TRAF3IP3 6
CHORDC1 5
WEE1 4
CRX 3
CPSF4 4
HOXC8 3
NCBP1 11
TMEM67 1
FAM13C 3
NFAT5 3
IRS2 4
SYPL1 2
VDAC1 7
THAP12 2
PDIA5 3
DIS3 4
ASCC1 4
RAPGEF5 1
TWNK 3
UFC1 1
GMNN 6
TMBIM4 1
PLD1 2
LORICRIN 1
ARHGEF18 1
PRIMPOL 2
FNDC11 5
CAV2 2
CRACR2A 5
GYPC 1
SLC9A6 1
CCNA2 6
BCAS3 3
ESM1 1
TMCC3 1
ACOT8 3
NUDT16L1 4
LIM2 1
OTULIN 3
RAG1 4
STX17 5
UCHL5 10
SORD 2
INTS5 2
C15orf48 1
MRPL34 1
LHB 2
TRAK2 1
STARD3 5
KYNU 1
ZNF251 1
SEMA7A 2
SLC41A3 3
PALD1 1
CYP4F2 3
ERCC6 3
SLC16A12 1
ATRX 8
CD74 6
ICA1 1
MLST8 5
SRGN 6
BMPR1B 2
PTGR2 1
CEP20 1
ZC3H14 2
HLA-DRB1 1
FTH1 8
NTF4 4
KCTD19 1
PAPSS2 2
GPX7 3
RCOR3 6
BARX2 1
RNF34 5
PMF1 4
GKAP1 2
RPA2 11
PNLIP 1
ETV1 3
MTERF3 2
RPS25 3
TBC1D1 1
C1orf127 1
PTPN4 4
CRADD 9
SFTPA2 1
MCM4 6
SP6 3
UBE2R2 4
TSPAN3 1
ULBP1 2
GPR183 2
SELENOV 1
CHRNA3 1
KRTAP1-1 1
COQ2 2
VPS50 3
IZUMO1 1
ARHGAP9 2
ATG7 4
CCDC42 3
WFDC13 1
HTR6 4
C1QTNF4 1
GNPNAT1 1
FBXL5 3
TEAD3 2
ILK 17
NLRP2 2
SMARCA5 4
EEF1D 7
DPPA4 6
PROM1 2
JADE1 4
SOS2 4
SPSB3 3
LRCH3 6
VEGFB 3
MAP3K12 2
HSF2BP 1
CD72 3
SCG3 2
KLC3 3
TMEM201 2
UBAC2 3
U2AF2 11
CLEC4G 2
SLCO2A1 1
MIGA1 1
OR2AG1 1
AKAP13 4
TNKS 6
TMED9 2
ERH 6
ACY1 3
PARL 2
RPS9 1
PDCD11 1
SPAG16 1
KCNS2 2
ADPRH 3
DUSP29 2
FEZ1 2
RALBP1 11
GTF2A2 4
WRAP73 6
RXRA 11
EREG 1
VRTN 1
EDIL3 1
LRP4 2
TCP11 2
MYOC 2
MMP25 1
CHRAC1 3
ADGRB2 2
TTF2 3
PCDH9 1
MAP3K21 2
BROX 2
DVL2 14
C9orf43 1
HMGN2 3
UBE2W 6
S1PR5 1
CITED1 3
CDKN1A 26
POMT1 1
UFL1 1
B3GALT2 1
NFKB1 19
AFF2 1
ITPR3 3
ETV6 4
KBTBD7 6
SOCS4 2
ZFP42 1
PIGS 5
ZNF649 1
CFAP20 4
SOCS2 5
YWHAH 21
FBN1 6
HTRA2 6
ARG2 2
ADTRP 1
MALT1 8
LMNTD2 1
DIRAS3 3
ADPGK 3
MXI1 3
H1-10 1
CENPW 1
OXCT1 2
CFAP418 1
ZC3HAV1 6
SMU1 5
ATP6V1C1 2
LRRC32 1
ODAD4 3
GTF2E2 2
COL9A1 1
PLS3 2
PNLIPRP1 3
TNPO3 1
MDH2 2
FAAP100 2
F7 1
RCHY1 7
SMCR8 1
WDR33 2
TXN 8
PTPDC1 4
L2HGDH 1
TRAF3IP1 7
YWHAB 28
KRT76 1
MYLK2 5
ZKSCAN5 2
WDR91 2
EMD 13
RGL4 1
RFPL3 3
ZNHIT3 3
PLEKHB2 4
MB 1
YIPF4 2
ZNF513 1
EXOSC3 9
ADAMTS3 1
HLA-DMA 3
PGLYRP3 2
ZNHIT2 1
SLC25A43 1
RACGAP1 9
TACR1 2
VIPR2 2
HIC1 6
GPBP1L1 3
B4GAT1 2
PHLPP1 5
NDUFB9 3
TUBA1C 4
FOXP4 2
BORCS8-MEF2B 3
THSD7B 2
AUP1 4
SP3 1
ARHGEF10L 2
PKN1 8
ADAM22 1
SMIM22 1
MANSC1 1
CNKSR1 2
MYO9A 1
C10orf55 2
PFDN5 4
ISG20L2 1
NIN 4
FPR2 2
YTHDF3 2
KRTAP10-3 1
PLPPR3 1
TPST1 1
FGD6 1
UNKL 3
MC4R 2
NPHS2 1
KRT10 1
SUGT1 5
KRTAP4-5 1
AP2A2 1
TROAP 6
CYP2C8 2
PKIA 2
TMEM30A 5
ARMC5 2
RBM4B 5
SEPTIN12 5
BMP8B 2
KLF4 5
NETO2 1
OR6B1 1
MPI 1
PLTP 2
SMOC2 1
ZNF567 4
GNL3 5
PPP1R1B 3
ATP2A2 4
ERP44 4
IL24 1
LUC7L 3
VSTM2A 1
ACTN3 2
VPS39 5
TP63 11
ALKBH2 2
RRH 1
TLNRD1 1
SLC25A42 1
PRKAG2 4
CCL8 1
VAMP1 3
PTPRD 2
ZFHX3 2
C17orf80 1
HMG20A 6
TMEM25 3
KMT2C 4
ARNTL 7
STX3 5
EIF5 2
NPM3 3
TEX264 3
PPP1R1A 2
DEFB127 3
CREBRF 2
PIWIL1 3
DAAM1 4
KITLG 2
DNMT1 13
F3 5
SLC4A3 1
TTN 10
UBE2E2 8
SUPT6H 1
RTN4 6
RFX5 4
BLMH 7
NELL2 3
SHOC2 3
ZSCAN29 1
PFDN1 3
RRAGC 6
WDR83 4
NEDD8 10
PRR20D 1
NKX2-5 5
GRAP2 15
CFP 4
LOC102724560 6
PILRA 5
ITGB5 9
HTR4 2
SZT2 3
LYPD5 1
BCLAF1 3
DIP2C 1
VASN 4
PTPN23 6
FAM53C 3
MFSD2A 1
GALT 4
CSF1 3
CSDC2 3
INTS12 3
POP4 2
ARRDC4 1
HOOK3 3
IL20RA 2
TMC6 1
PIK3C2A 1
MAGEA1 4
WWP1 5
MGAT4B 2
MYH9 6
DNM2 13
DPH6 1
ANGPTL8 1
CHRM2 2
ZNF750 1
FEM1A 1
CDKN2A 19
TPTE2 2
KRTAP4-12 3
OFD1 8
ACTN1 5
TRPC5 1
SGCA 7
RABAC1 7
CCL14 2
CHRDL2 1
PCM1 11
C10orf71 1
EPHX4 1
POC1A 3
CNOT11 3
NIP7 1
CD164 3
SAA4 1
NOLC1 2
TMCO6 3
SPRED1 4
SLC23A3 1
COPG1 4
ACVR2B 4
INSIG2 2
MAGI3 6
HIBCH 2
UBE2J2 2
WNT16 1
DHX30 2
VMP1 3
FBXL16 1
SET 8
DRC7 2
XIAP 27
PELI2 4
CTTNBP2NL 4
PROSER2 1
PCLAF 1
S1PR2 2
COPS7A 2
CCDC81 1
WDHD1 1
RRAS 2
PLEK 2
KCND3 1
LOXL1 1
PLPP3 1
DZIP3 3
KCNAB3 2
ADD1 3
BECN1 23
CFAP52 2
EXOSC1 11
RPL22L1 2
PRPS1 8
UQCRQ 1
XPNPEP3 2
S100A16 1
DAZL 1
IL27RA 1
EPC1 2
PYCR2 2
MCEE 3
ECE2 2
UTP3 4
MAP3K15 2
BCL11B 1
EIPR1 3
AFDN 6
H2BC15 2
TFB2M 1
YY1AP1 3
ADGRE5 3
APOM 1
MSH6 4
ZNF559 2
CCDC138 1
SSNA1 6
OSR2 2
TMPRSS5 1
GSTO2 3
IFI44 1
HIPK2 9
RPP14 4
TSEN15 2
MCTS1 3
CLDN1 2
RAD54L 3
TIAM1 1
HEXA 2
KAT8 3
INPP5D 3
CCNDBP1 5
GPR6 1
BBC3 7
VPS41 5
CENPI 1
PRPF40A 9
WNT7A 2
TIAL1 4
HIP1 6
CBL 33
HSD11B1 2
RPS7 3
COMTD1 2
ANKRD10 4
TRIM43 5
FSCN3 1
CENPS 2
LILRB5 1
MPDU1 2
KRAS 8
PDGFRA 6
SLITRK1 1
SAPCD1 1
EFEMP2 7
PRLHR 1
GMCL2 1
HAVCR2 3
C3 13
SFN 19
LGALS14 3
STAU2 1
FEN1 9
ZBBX 1
MAST1 4
ODC1 4
VEGFD 1
TPR 2
ZNF844 2
PER2 1
CCL25 2
PDS5A 5
URI1 4
PHACTR3 3
SDHAF4 1
ZNF607 2
TBC1D17 2
MEPCE 1
ZNF324B 1
ADAM28 1
TIGD5 2
TBX18 1
STK4 13
NCOA5 4
RPP38 2
PREPL 1
PHF8 6
IGF2R 5
BRCA1 46
ANKLE2 1
RTN1 2
IGFBP2 1
ARAP1 1
MADD 2
RNF8 11
HNRNPAB 3
CISD2 2
BCORL1 1
PF4 1
SLA 3
SLC25A41 1
USP8 5
RBKS 2
EFHC2 2
FAM117B 3
SGPL1 2
PSMB7 4
TEPSIN 2
ZFYVE1 2
SLC4A1AP 3
CCL3 1
SLC25A15 1
C1orf220 1
FOS 15
TUBA1A 6
GSX2 1
PAF1 9
ATXN7L3 3
BTBD16 1
KIAA1958 1
DPF2 6
NECAP1 2
UBR7 1
ORC4 5
GH2 1
DCBLD2 1
CPZ 1
ESR2 13
EEF1E1 2
SOX17 3
SYNGR1 4
TMEM107 3
WAPL 6
HSPA6 1
ST6GAL2 1
CALM1 3
SIGLEC10 2
UPF3B 9
PHF11 1
TMEM230 3
FGF23 1
SLC12A8 2
SH3BP5L 1
ANKEF1 1
NIPSNAP1 3
TRIR 1
OTP 1
PPP4R1 3
MSH5 2
RHPN1 3
ZNF707 4
KRTAP5-2 1
AHNAK2 1
ADAM10 6
MED19 7
PWP2 1
SPRR3 1
CNPPD1 1
CLEC4M 4
MCM6 9
NUAK1 6
TRIM16 3
BIRC2 13
PACRG 3
STYXL1 2
SOX9 1
RABGGTB 1
AMER3 1
ARHGAP15 3
NPTN 1
YPEL2 1
RAD18 6
CNEP1R1 1
PRAF2 2
ATP6V1G3 2
DCLK3 1
CAV3 2
ZMAT4 3
BCL3 4
H4C16 17
SSX4 1
CALML3 1
RNF31 11
MOS 10
RMC1 1
DOK5 3
SLC7A10 1
PMP2 1
FAM217B 1
POMP 3
SYPL2 1
SLC1A5 3
FAXC 1
GARIN1B 2
ELP6 1
DHX8 3
KDM2B 3
GRIN2B 4
SLC22A18 1
SCN5A 9
VAT1 1
RPIA 2
MCPH1 1
TMEM30B 4
ABCA12 1
MAPK14 20
PTRH2 3
YIPF6 2
DTX2 4
RHOD 3
PGK1 4
ZNF418 2
USP13 4
TNF 15
PAK6 8
CTRB1 1
WFDC12 1
AXL 6
ANTKMT 1
SYNJ2BP 3
SREBF2 7
MS4A1 3
RPS14 5
HM13 2
BPY2C 1
TNK1 4
ADAM33 2
CEP170P1 4
VPS8 1
KIF13B 2
HLCS 2
ORAI3 3
LRP3 1
MYOZ1 3
NHLRC1 3
FAM78B 1
CD200 1
CELA3A 3
FBXO25 6
SPECC1L 1
MARVELD2 3
SMC1A 9
CLDN18 1
SYVN1 5
C12orf60 1
IL9R 2
AIF1L 1
PARN 3
KRTAP3-2 2
ITGB1BP2 3
TENT2 2
AP5Z1 1
SLC22A12 1
GTF2H1 7
TNS1 3
CDC26 3
APBA1 4
ETS1 11
GLIPR2 1
GALNT16 1
KLK10 2
DAB1 3
PLCD1 2
NDUFAF5 2
TSNAXIP1 1
BBX 1
FMO4 1
PRKCH 2
RAB29 5
OR1D2 1
KRT31 3
TRH 1
MLH3 2
IL17RE 2
ZSWIM3 1
WDR5B 2
GKN1 2
NME5 4
FNIP1 2
CCDC153 3
KRTAP8-1 2
MYOG 4
PREX1 3
COPS4 4
LDB1 2
BUD31 3
SVIL 1
SUMO1 33
POSTN 1
SYMPK 3
SNX18 4
FKBP1B 2
DMKN 2
RRM1 4
SDHD 1
PHF7 3
XPO6 2
VAPA 10
ETFDH 1
DENR 5
RAB6A 6
GCFC2 5
CPE 1
FHIP2B 2
RASSF3 3
ZNF655 2
NTSR1 1
BSPRY 1
C16orf46 1
TLCD1 1
TNFRSF9 1
CKM 2
LHFPL3 1
ZNF3 5
TXNRD1 1
CDCA5 5
PAK1 39
SHB 1
C22orf39 2
SENP2 3
COPS3 6
CNRIP1 2
SEC11C 2
SMARCD1 9
TCTE1 1
GTF2H4 1
CASS4 3
PODN 2
HNRNPA0 1
FOXL2 1
MOGAT2 1
MAP3K7 15
BUB1B 13
NKRF 3
BAHD1 3
UBIAD1 3
PRSS2 1
ZRANB2 4
MARK1 4
FZD8 1
NPEPL1 2
SNX22 1
EVL 7
LCN1 2
KEAP1 12
ATG5 8
CYREN 2
NUAK2 5
CACNA1C 5
HSD17B6 1
IGSF6 1
HAUS6 2
PDPN 2
QSOX2 1
CREBZF 6
XRCC4 10
GRK1 1
BMT2 1
STK32C 3
TDP2 1
DNAJC1 2
MELTF 2
KANSL1 5
EPB41L1 1
MAML1 3
FAM20B 2
ZMYM4 1
CMIP 2
SCAF1 1
STRIT1 1
ADAT2 3
PIGF 1
RGS1 3
DNMT3B 8
ZNF821 1
SLC17A2 1
TUFM 5
ATMIN 2
PCCB 2
FLII 3
SCOC 4
MYEF2 3
ARIH1 3
RDH12 4
KRT20 4
TVP23B 1
ADIPOR2 1
CBR3 5
EFCAB11 1
NRBF2 5
GBP5 2
TNFRSF21 5
PNKD 4
CCNA1 2
TMEM132A 1
ELOVL1 1
MCOLN1 2
CXADR 1
SLC3A2 1
CCDC82 1
MAGEB10 1
KCNJ10 2
TULP3 6
ID4 1
SLC30A10 1
DEFB132 1
RERG 1
SAMD11 1
CDC25C 5
LAMB3 1
PTPN2 5
TAL2 2
VRK3 3
PRKAG3 3
IL6 2
PBK 9
LNPEP 4
NAP1L2 2
GTF2IRD1 3
EPHA3 3
THOC3 2
TRMT13 1
LTA 4
PSMC3 4
BCL2L15 3
GINM1 2
CCDC126 1
MMP24-AS1-EDEM2 1
UBP1 1
PRKAB1 6
RC3H2 1
ACACA 4
SELENOM 2
CXCL12 1
LIN7A 4
CDC42EP3 2
TAF9B 3
PCDHGB4 1
NTNG1 2
POLE 4
KRTAP13-2 1
LRRC25 1
JAK2 8
PRG2 2
CPA5 1
DOLK 4
C2CD5 1
TRIM60 1
MARK4 10
TMEM132E-DT 1
CFAP53 2
TRAM1 2
KLF10 3
RAP2C 2
CD53 2
FBXL12 6
RPS11 1
ZNF664-RFLNA 1
ATOH7 1
REG4 1
ARF5 1
RAB40A 2
POLR3E 2
ZBTB7A 2
ANKRD53 1
DDX1 1
ZNF576 3
APOB 4
SEMA4D 1
MBNL3 2
IDH1 3
CTAG1A 3
KNOP1 2
SFMBT2 2
ONECUT1 1
HSPA12B 2
APLNR 5
CXCL2 1
CDK2AP1 6
NUDT21 8
NEIL2 2
SLC2A6 1
XAF1 1
FAM83D 1
ISCU 5
GAP43 3
AMPD1 1
GABRA6 1
GDF5 3
SHC2 1
SIRT1 50
RASSF10 2
UGT2A3 1
IL12RB1 2
TNFRSF17 3
CBFB 4
ZNF280C 1
MORN4 3
DGAT2 1
GIPC2 4
TJP3 1
RABGAP1L 2
COL26A1 1
ISG20 1
CLVS1 2
SULT2B1 3
CIR1 5
PTPRCAP 3
UBE2J1 5
LRP1 8
CPT1A 1
H2AX 15
SEC61A1 2
AHR 4
CYB561A3 2
ARAP3 1
MAGI1 7
A2M 3
XPC 6
BET1 5
HCFC1R1 1
TNFRSF25 1
FRMD8 3
NFIX 3
SIRT5 1
USP16 2
POLR2M 4
TM4SF19 2
CASP1 13
PKP1 6
IGFN1 2
TMEM196 1
QSOX1 1
STK11 23
ANK2 8
C20orf85 1
ANAPC13 2
POMK 2
NAT9 3
